"iso_code","location","date","total_cases","new_cases","total_deaths","new_deaths","total_cases_per_million","new_cases_per_million","total_deaths_per_million","new_deaths_per_million","total_tests","new_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","tests_units","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cvd_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_100k"
"ITA","Italy","2019-12-31","0","0","0","0","0","0","0","0","","","","","","","","","60461828","205.859","47.9","23.021","16.24","35220.084","2","113.151","4.78","19.8","27.8","","3.18"
"ITA","Italy","2020-01-01","0","0","0","0","0","0","0","0","","","","","","","","0","60461828","205.859","47.9","23.021","16.24","35220.084","2","113.151","4.78","19.8","27.8","","3.18"
"ITA","Italy","2020-01-02","0","0","0","0","0","0","0","0","","","","","","","","0","60461828","205.859","47.9","23.021","16.24","35220.084","2","113.151","4.78","19.8","27.8","","3.18"
"ITA","Italy","2020-01-03","0","0","0","0","0","0","0","0","","","","","","","","0","60461828","205.859","47.9","23.021","16.24","35220.084","2","113.151","4.78","19.8","27.8","","3.18"
"ITA","Italy","2020-01-04","0","0","0","0","0","0","0","0","","","","","","","","0","60461828","205.859","47.9","23.021","16.24","35220.084","2","113.151","4.78","19.8","27.8","","3.18"
"ITA","Italy","2020-01-05","0","0","0","0","0","0","0","0","","","","","","","","0","60461828","205.859","47.9","23.021","16.24","35220.084","2","113.151","4.78","19.8","27.8","","3.18"
"ITA","Italy","2020-01-06","0","0","0","0","0","0","0","0","","","","","","","","0","60461828","205.859","47.9","23.021","16.24","35220.084","2","113.151","4.78","19.8","27.8","","3.18"
"ITA","Italy","2020-01-07","0","0","0","0","0","0","0","0","","","","","","","","0","60461828","205.859","47.9","23.021","16.24","35220.084","2","113.151","4.78","19.8","27.8","","3.18"
"ITA","Italy","2020-01-08","0","0","0","0","0","0","0","0","","","","","","","","0","60461828","205.859","47.9","23.021","16.24","35220.084","2","113.151","4.78","19.8","27.8","","3.18"
"ITA","Italy","2020-01-09","0","0","0","0","0","0","0","0","","","","","","","","0","60461828","205.859","47.9","23.021","16.24","35220.084","2","113.151","4.78","19.8","27.8","","3.18"
"ITA","Italy","2020-01-10","0","0","0","0","0","0","0","0","","","","","","","","0","60461828","205.859","47.9","23.021","16.24","35220.084","2","113.151","4.78","19.8","27.8","","3.18"
"ITA","Italy","2020-01-11","0","0","0","0","0","0","0","0","","","","","","","","0","60461828","205.859","47.9","23.021","16.24","35220.084","2","113.151","4.78","19.8","27.8","","3.18"
"ITA","Italy","2020-01-12","0","0","0","0","0","0","0","0","","","","","","","","0","60461828","205.859","47.9","23.021","16.24","35220.084","2","113.151","4.78","19.8","27.8","","3.18"
"ITA","Italy","2020-01-13","0","0","0","0","0","0","0","0","","","","","","","","0","60461828","205.859","47.9","23.021","16.24","35220.084","2","113.151","4.78","19.8","27.8","","3.18"
"ITA","Italy","2020-01-14","0","0","0","0","0","0","0","0","","","","","","","","0","60461828","205.859","47.9","23.021","16.24","35220.084","2","113.151","4.78","19.8","27.8","","3.18"
"ITA","Italy","2020-01-15","0","0","0","0","0","0","0","0","","","","","","","","0","60461828","205.859","47.9","23.021","16.24","35220.084","2","113.151","4.78","19.8","27.8","","3.18"
