"iso_code","location","date","total_cases","new_cases","total_deaths","new_deaths","total_cases_per_million","new_cases_per_million","total_deaths_per_million","new_deaths_per_million","total_tests","new_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","tests_units","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cvd_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_100k"
"ITA","Italy","2020-05-01","205463","1872","27967","285","3398.227","30.962","462.556","4.714","2053425","74208","33.962","1.227","58724","0.971","tests performed","93.52","60461828","205.859","47.9","23.021","16.24","35220.084","2","113.151","4.78","19.8","27.8","","3.18"
"ITA","Italy","2020-05-02","207428","1965","28236","269","3430.727","32.5","467.005","4.449","2108837","55412","34.879","0.916","57299","0.948","tests performed","93.52","60461828","205.859","47.9","23.021","16.24","35220.084","2","113.151","4.78","19.8","27.8","","3.18"
"ITA","Italy","2020-05-03","209328","1900","28710","474","3462.151","31.425","474.845","7.84","2153772","44935","35.622","0.743","56588","0.936","tests performed","93.52","60461828","205.859","47.9","23.021","16.24","35220.084","2","113.151","4.78","19.8","27.8","","3.18"
"ITA","Italy","2020-05-04","210717","1389","28884","174","3485.125","22.973","477.723","2.878","2191403","37631","36.244","0.622","57392","0.949","tests performed","62.96","60461828","205.859","47.9","23.021","16.24","35220.084","2","113.151","4.78","19.8","27.8","","3.18"
"ITA","Italy","2020-05-05","211938","1221","29079","195","3505.319","20.195","480.948","3.225","2246666","55263","37.158","0.914","57105","0.944","tests performed","62.96","60461828","205.859","47.9","23.021","16.24","35220.084","2","113.151","4.78","19.8","27.8","","3.18"
"ITA","Italy","2020-05-06","213013","1075","29315","236","3523.099","17.78","484.851","3.903","2310929","64263","38.221","1.063","57167","0.946","tests performed","62.96","60461828","205.859","47.9","23.021","16.24","35220.084","2","113.151","4.78","19.8","27.8","","3.18"
"ITA","Italy","2020-05-07","214457","1444","29684","369","3546.982","23.883","490.954","6.103","2381288","70359","39.385","1.164","57439","0.95","tests performed","62.96","60461828","205.859","47.9","23.021","16.24","35220.084","2","113.151","4.78","19.8","27.8","","3.18"
"ITA","Italy","2020-05-08","215858","1401","29958","274","3570.153","23.172","495.486","4.532","2445063","63775","40.44","1.055","55948","0.925","tests performed","62.96","60461828","205.859","47.9","23.021","16.24","35220.084","2","113.151","4.78","19.8","27.8","","3.18"
"ITA","Italy","2020-05-09","217185","1327","30201","243","3592.101","21.948","499.505","4.019","2514234","69171","41.584","1.144","57914","0.958","tests performed","62.96","60461828","205.859","47.9","23.021","16.24","35220.084","2","113.151","4.78","19.8","27.8","","3.18"
"ITA","Italy","2020-05-10","218268","1083","30395","194","3610.013","17.912","502.714","3.209","2565912","51678","42.439","0.855","58877","0.974","tests performed","62.96","60461828","205.859","47.9","23.021","16.24","35220.084","2","113.151","4.78","19.8","27.8","","3.18"
"ITA","Italy","2020-05-11","219070","802","30560","165","3623.278","13.265","505.443","2.729","2606652","40740","43.112","0.674","59321","0.981","tests performed","62.96","60461828","205.859","47.9","23.021","16.24","35220.084","2","113.151","4.78","19.8","27.8","","3.18"
"ITA","Italy","2020-05-12","219814","744","30739","179","3635.583","12.305","508.403","2.961","2673655","67003","44.221","1.108","60998","1.009","tests performed","62.96","60461828","205.859","47.9","23.021","16.24","35220.084","2","113.151","4.78","19.8","27.8","","3.18"
"ITA","Italy","2020-05-13","221216","1402","30911","172","3658.771","23.188","511.248","2.845","2735628","61973","45.246","1.025","60671","1.003","tests performed","62.96","60461828","205.859","47.9","23.021","16.24","35220.084","2","113.151","4.78","19.8","27.8","","3.18"
"ITA","Italy","2020-05-14","222104","888","31106","195","3673.458","14.687","514.473","3.225","2807504","71876","46.434","1.189","60888","1.007","tests performed","62.96","60461828","205.859","47.9","23.021","16.24","35220.084","2","113.151","4.78","19.8","27.8","","3.18"
